Item,Numberin stock,Pricesold at,Pricebought at,GE price
Earth rune,5000,4,2,5
Mind rune,5000,3,1,4
Body rune,5000,3,1,5
Chaos rune,250,96,54,101
Death rune,250,220,108,270
Fire rune pack,80,430,258,Not sold
Water rune pack,80,430,258,Not sold
Air rune pack,80,430,258,Not sold
Earth rune pack,80,430,258,Not sold
Mind rune pack,40,330,198,Not sold
Chaos rune pack,35,9950,5970,Not sold
Eye of newt,300,3,1,4
Eye of newt pack,60,300,180,Not sold
Blue wizard hat,1,2,1,210
Wizard hat,1,2,1,174
Bandit's brew,10,650,216,1114
Bronze dagger,1,15,2,6
Iron dagger,1,52,8,3
Steel dagger,1,187,31,16
Black dagger,0,360,60,191
Mithril dagger,1,487,81,77
Adamant dagger,1,1200,200,321
Rune dagger,1,12000,2000,4526
Dragon dagger,0,45000,7500,17657
Bronze scimitar,1,48,8,4
Iron scimitar,1,168,28,8
Steel scimitar,1,600,100,57
Premade blurb' sp.,10,30,18,258
Premade choc s'dy,10,30,18,25
Premade dr' dragon,10,30,18,23
Premade fr' blast,10,30,18,20
Premade p' punch,10,30,18,22
Premade sgg,10,30,18,22
Premade wiz blz'd,10,30,18,20
Bronze pickaxe,5,1,0,71
Bronze axe,10,16,9,9
Iron axe,5,56,33,5
Steel axe,3,200,120,9
Iron battleaxe,5,182,112,14
Steel battleaxe,2,650,403,187
Mithril battleaxe,1,1690,1047,760
Pot,3,1,0,5
Bronze pickaxe,5,1,0,71
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,2,2,0,6
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Bronze arrow,30,1,0,7
Cooked meat,2,5,1,31
Dragon scimitar,∞,300000,,59727
Dragon longsword,∞,300000,,59670
Dragon dagger,∞,90000,,17657
Dragon battleaxe,∞,600000,,119531
Dragon mace,∞,150000,,30122
Dragon halberd,∞,900000,,149498
Helm of neitiznot,∞,150000,,30314
Berserker helm,∞,234000,,48878
Warrior helm,∞,234000,,46623
Archer helm,∞,234000,,47157
Farseer helm,∞,234000,,42450
Mystic robe top (blue),∞,360000,,71758
Mystic robe bottom (blue),∞,240000,,48274
Mystic hat (blue),∞,45000,,11849
Mystic gloves (blue),∞,30000,,5937
Mystic boots (blue),∞,30000,,7790
Rune platebody,∞,255000,,38676
Rune platelegs,∞,192000,,37992
Rune plateskirt,∞,192000,,37984
Crystal seed,∞,540000,,5148
Green dark bow paint,∞,500000,,133069
Yellow dark bow paint,∞,500000,,131590
White dark bow paint,∞,500000,,138708
Blue dark bow paint,∞,500000,,130555
Paddewwa teleport,∞,10000,,2361
Senntisten teleport,∞,10000,,2520
Annakarl teleport,∞,10000,,2094
Carrallangar teleport,∞,10000,,1980
Dareeyak teleport,∞,10000,,2439
Ghorrock teleport,∞,10000,,1999
Kharyrll teleport,∞,10000,,1799
Lassar teleport,∞,10000,,2619
Volcanic whip mix,∞,500000,,111365
Frozen whip mix,∞,500000,,110491
Steam staff upgrade kit,∞,250000,,64239
Lava staff upgrade kit,∞,250000,,66865
Dragon pickaxe upgrade kit,∞,300000,,65396
Ward upgrade kit,∞,350000,,84384
Ring of wealth scroll,∞,50000,,11985
Magic shortbow scroll,∞,100000,,21516
Saradomin's tear,∞,25000000,,4828964
Rune pouch,∞,1200000,,Not sold
Looting bag,∞,10000,,Not sold
Bolt rack,∞,360,,76
Rune arrow,∞,600,,83
Adamant arrow,∞,240,,67
Clue box,∞,100000,,24848
Climbing boots,∞,5400,,563
Granite clamp,∞,250000,,64333
Bounty teleport scroll,∞,8000000,,1911019
Hunter's honour,∞,2500000,,Not sold
Rogue's revenge,∞,2500000,,Not sold
Steel arrow,1500,12,7,33
Mithril arrow,1000,32,20,41
Adamant arrow,800,80,52,67
Oak shortbow,4,100,65,30
Oak longbow,4,160,104,39
Willow shortbow,3,200,130,72
Willow longbow,3,320,208,114
Maple shortbow,2,400,260,197
Maple longbow,2,640,416,230
Bronze battleaxe,4,52,28,3
Iron battleaxe,3,182,100,14
Steel battleaxe,2,650,260,187
Black battleaxe,1,1248,686,577
Mithril battleaxe,1,1690,929,760
Adamant battleaxe,1,4160,2160,2233
Bronze chainbody,5,60,??,7
Iron chainbody,3,210,??,71
Steel chainbody,3,750,??,262
Bronze platelegs,3,80,??,32
Iron platelegs,2,280,??,88
Steel platelegs,2,1000,??,376
Bronze plateskirt,3,80,??,26
Iron plateskirt,2,280,??,73
Steel plateskirt,2,1000,??,393
Bronze med helm,5,24,??,14
Iron med helm,3,84,??,9
Steel med helm,3,300,??,42
Iron battleaxe,5,182,??,14
Steel battleaxe,2,650,??,187
Mithril battleaxe,1,1690,??,760
Bronze sword,5,26,??,5
Iron sword,4,91,??,11
Steel sword,4,325,??,52
Black sword,3,624,??,207
Mithril sword,3,845,??,288
Adamant sword,2,2080,??,1143
Bronze longsword,4,40,??,4
Iron longsword,3,140,??,14
Steel longsword,3,500,??,115
Black longsword,2,960,??,403
Mithril longsword,2,1300,??,567
Adamant longsword,1,3200,??,1693
Bronze dagger,10,10,??,6
Iron dagger,6,35,??,3
Steel dagger,5,125,??,16
Black dagger,4,240,??,191
Mithril dagger,3,325,??,77
Adamant dagger,2,800,??,321
Bronze mace,5,18,??,3
Iron mace,4,63,??,10
Steel mace,4,225,??,28
Mithril mace,3,585,??,147
Adamant mace,2,1440,??,609
Bronze 2h sword,4,80,??,11
Iron 2h sword,3,280,??,28
Steel 2h sword,2,1000,??,367
Black 2h sword,1,1920,??,976
Mithril 2h sword,1,2600,??,1302
Adamant 2h sword,1,6400,??,3597
Bronze scimitar,5,32,??,4
Iron scimitar,4,112,??,8
Steel scimitar,4,400,??,57
Black scimitar,3,768,??,2337
Mithril scimitar,3,1040,??,407
Pot,3,1,0,5
Jug,2,1,0,3
Empty jug pack,3,182,56,Not sold
Shears,2,1,0,27
Bucket,2,2,0,6
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Knife,2,7,2,96
Empty cup,10,2,0,19
Candle,5,3,1,209
Chisel,2,1,0,69
Ring mould,4,7,4,15
Necklace mould,2,7,4,48
Needle,3,1,0,49
Thread,100,1,0,9
Ball of wool,100,3,1,55
Wooden shield,5,20,12,74
Bronze sq shield,3,48,28,4
Bronze kiteshield,3,68,40,9
Iron sq shield,2,168,100,46
Iron kiteshield,0,223,142,32
Steel sq shield,0,600,360,204
Steel kiteshield,0,850,510,263
Mithril sq shield,0,1560,936,689
Saw,1000,13,3,274
Bolt of cloth,1000,650,195,894
Bronze nails,95,2,1,8
Iron nails,95,5,2,18
Steel nails,95,3,1,32
Yak-hide,25,55,35,113
Raw yak meat,50,2,1,55
Hair,50,2,1,119
Cured yak-hide,10,110,70,420
Wooden stock,5,72,10,10
Oak stock,5,97,13,1
Willow stock,5,190,26,2
Teak stock,5,277,38,110
Maple stock,5,360,50,6
Mahogany stock,0,478,66,391
Yew stock,0,601,83,201
Bronze limbs,5,72,10,31
Iron limbs,5,252,35,144
Steel limbs,5,900,125,266
Mithril limbs,5,2340,325,695
Adamantite limbs,0,5760,800,2175
Runite limbs,0,57600,8000,9365
Bronze crossbow,0,262,36,178
Iron crossbow,0,565,78,35
Steel crossbow,0,1296,180,142
Mith crossbow,0,2818,391,902
Adamant crossbow,0,6361,883,3084
Rune crossbow,0,58320,8100,9880
Wooden stock,5,60,12.0,10
Oak stock,5,81,,1
Willow stock,5,159,26.0,2
Teak stock,5,231,38.0,110
Maple stock,5,300,50.0,6
Mahogany stock,5,399,66.0,391
Yew stock,0,501,83.0,201
Bronze limbs,5,60,12.0,31
Iron limbs,5,210,42.0,144
Steel limbs,5,750,150.0,266
Mithril limbs,5,1950,390.0,695
Adamantite limbs,5,4800,960.0,2175
Runite limbs,0,48000,9600.0,9365
Bronze crossbow,0,219,43.0,178
Iron crossbow,0,471,94.0,35
Steel crossbow,0,1080,216.0,142
Mith crossbow,0,2349,469.0,902
Adamant crossbow,0,5301,1060.0,3084
Rune crossbow,0,48600,9720.0,9880
Wooden stock,5,72,12,10
Oak stock,5,97,16,1
Willow stock,5,190,31,2
Teak stock,5,277,46,110
Maple stock,5,360,60,6
Mahogany stock,0,478,79,391
Yew stock,0,601,100,201
Bronze limbs,5,72,12,31
Iron limbs,5,252,42,144
Steel limbs,5,900,150,266
Mithril limbs,5,2340,390,695
Adamantite limbs,0,5760,960,2175
Runite limbs,0,57600,9600,9365
Bronze crossbow,0,262,43,178
Iron crossbow,0,565,94,35
Steel crossbow,0,1296,216,142
Mith crossbow,0,2818,469,902
Adamant crossbow,0,6361,1060,3084
Rune crossbow,0,58320,9720,9880
Chocolate bar,50,13,5,83
Tomato,50,5,1,77
Grapes,10,1,0,205
Pizza base,1,5,1,247
Bucket of milk,50,7,2,16
Pat of butter,10,5,1,147
Pie dish,50,3,1,56
Bowl,50,5,1,33
Pot,50,1,0,5
Bucket,50,2,0,6
Cheese,50,5,1,57
Cooking apple,50,1,0,143
Pot of flour,10,13,4,183
Egg,50,5,1,50
Pot of cream,50,3,2,25
Spice,50,299,96,110
Cake tin,50,13,4,62
Jug,50,1,0,3
Empty cup,50,2,0,19
Bronze scimitar,10,32,2,4
Iron scimitar,10,112,2,8
Steel scimitar,8,400,2,57
Mithril scimitar,6,1040,2,407
Dragon scimitar,4,100000,1,59727
Empty pot,30,1,1,5
Jug,10,1,1,3
Knife,10,25,7,96
Bucket,30,2,1,6
Tinderbox,10,1,1,73
Chisel,10,14,4,69
Hammer,10,13,3,41
Arrow shaft,1000,1,0,1
Bronze arrowtips,500,1,0,4
Iron arrowtips,400,2,0,13
Steel arrowtips,300,6,3,39
Mithril arrowtips,200,16,8,59
Adamant arrowtips,200,40,20,134
Rune arrowtips,150,200,100,285
Bronze arrow,1000,1,0,7
Iron arrow,500,3,1,9
Steel arrow,500,12,6,33
Mithril arrow,500,32,16,41
Adamant arrow,450,80,40,67
Rune arrow,400,400,200,83
Bronze brutal,0,5,2,100
Iron brutal,0,10,5,113
Steel brutal,0,20,10,129
Black brutal,0,35,17,168
Mithril brutal,0,50,25,177
Adamant brutal,0,95,47,307
Rune brutal,0,450,225,1020
Shortbow,20,50,25,39
Oak shortbow,20,100,50,30
Willow shortbow,20,200,100,72
Longbow,20,80,40,58
Oak longbow,20,160,80,39
Comp ogre bow,0,180,90,1122
Willow longbow,10,320,160,114
Team-4 cape,100,50,30,545
Team-14 cape,100,50,30,817
Team-24 cape,100,50,30,809
Team-34 cape,100,50,30,355
Team-44 cape,100,50,30,785
Holy symbol,0,360,225,249
Amulet of magic,0,1080,675,585
Amulet of defence,0,1530,956,750
Amulet of strength,0,2430,1518,1193
Amulet of power,0,4230,2643,2251
Grog,10,3,1,655
Karamjan rum,10,27,9,Not sold
Brown toy horsey,10,150,52.0,197
White toy horsey,10,150,52.0,310
Black toy horsey,10,150,52.0,178
Grey toy horsey,10,150,52.0,152
Spinning plate,250,75,,Not sold
Beach boxing gloves (yellow),5,75,,Not sold
Beach boxing gloves (pink),5,75,,Not sold
Cursed goblin hammer,3,45,,Not sold
Cursed goblin bow,3,45,,Not sold
Cursed goblin staff,3,45,,Not sold
Event rpg,3,225,,Not sold
Diango's claws,5,750,,Not sold
Green banner,5,73,,Not sold
Chronicle,1,300,,Not sold
Teleport card,100,150,50.0,Not sold
Cabbage cape,10,150,,Not sold
Cruciferous codex,15,300,,Not sold
Tiger toy,15,150,,Not sold
Lion toy,15,150,,Not sold
Snow leopard toy,15,150,,Not sold
Amur leopard toy,15,150,,Not sold
Rainbow scarf,5,120,,Not sold
Holy handegg,100,1,0.0,Not sold
Peaceful handegg,100,1,0.0,Not sold
Chaotic handegg,100,1,0.0,Not sold
Hornwood helm,100,15,0.0,Not sold
Hand fan,100,1,0.0,Not sold
Mask of balance,100,1,0.0,Not sold
Druidic wreath,100,1,0.0,Not sold
Pirate boots,15,350,210,203
Stripy pirate shirt (beige),10,300,180,1003
Pirate bandana (white),20,100,60,655
Pirate leggings (beige),10,350,210,2252
Stripy pirate shirt (red),10,300,180,830
Pirate bandana (red),20,100,60,510
Pirate leggings (red),10,350,210,846
Stripy pirate shirt (blue),10,300,180,1053
Pirate bandana (blue),20,100,60,627
Pirate leggings (blue),10,350,210,841
Stripy pirate shirt (brown),10,300,180,983
Pirate bandana (brown),20,100,60,218
Pirate leggings (brown),10,350,210,996
Chisel,2,1,1,69
Ring mould,10,5,1,15
Necklace mould,2,5,1,48
Amulet mould,10,5,1,32
Needle,3,1,1,49
Thread,100,1,1,9
Holy mould,3,5,1,17
Sickle mould,10,10,3,48
Tiara mould,10,100,33,87
Bolt mould,10,25,8,14
Bracelet mould,5,5,1,373
Unlit torch,5,5,??,2
Tinderbox,2,1,??,73
Pot,5,1,??,5
Jug,2,1,??,3
Empty jug pack,6,182,??,Not sold
Bowl,2,5,??,33
Cake tin,2,13,??,62
Rope,3,23,??,57
Glassblowing pipe,1,2,??,163
Potato seed,20,2,0,1
Onion seed,10,3,1,1
Cabbage seed,5,3,1,1
Tomato seed,0,4,0,2
Sweetcorn seed,0,9,0,3
Strawberry seed,0,21,0,24
Watermelon seed,0,67,0,273
Barley seed,20,2,1,45
Jute seed,5,6,3,39
Rosemary seed,20,4,2,2
Marigold seed,20,2,1,2
Hammerstone seed,20,2,1,38
Asgarnian seed,10,3,1,38
Yanillian seed,5,7,3,40
Krandorian seed,0,9,0,60
Wildblood seed,0,16,0,385
Hammer,4,1,0,41
Bronze pickaxe,4,1,0,71
Copper ore,0,3,1,55
Tin ore,0,3,1,56
Iron ore,0,17,5,131
Coal,0,45,13,221
Bronze bar,0,8,2,138
Iron bar,0,28,8,251
Gold bar,0,300,90,79
Pot,3,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Pot,5,1,0,5
Jug,2,1,0,3
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,3,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Newcomer map,5,1,0,Not sold
Security book,5,2,0,22
Team-8 cape,100,50,30,497
Team-18 cape,100,50,30,344
Team-28 cape,100,50,30,448
Team-38 cape,100,50,30,482
Team-48 cape,100,50,30,480
Team-5 cape,100,50,30,807
Team-15 cape,100,50,30,1024
Team-25 cape,100,50,30,878
Team-35 cape,100,50,30,797
Team-45 cape,100,50,30,1093
Small fishing net,5,6,??,90
Fishing rod,5,6,??,93
Fly fishing rod,5,6,??,94
Harpoon,2,6,??,82
Lobster pot,2,26,??,224
Fishing bait,1500,3,??,4
Bait pack,80,390,??,Not sold
Feather,1000,2,??,3
Feather pack,100,260,??,Not sold
Big fishing net,5,26,??,289
Raw shrimps,0,6,??,12
Raw sardine,200,13,??,18
Raw herring,0,19,??,34
Raw mackerel,0,22,??,67
Raw cod,0,32,??,120
Raw anchovies,0,19,??,48
Raw trout,0,26,??,20
Raw pike,0,32,??,50
Raw salmon,0,65,??,53
Raw tuna,0,130,??,91
Raw lobster,0,195,??,218
Raw bass,0,156,??,211
Raw swordfish,0,260,??,402
Raw shark,0,390,??,838
Fairy enchantment,4,100,60,Not sold
Pot,5,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,3,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Newcomer map,5,1,0,Not sold
Security book,5,2,0,22
Chef's hat,0,2,1,112
Blue wizard hat,3,2,0,210
Yellow cape,1,41,12,235
Grey wolf fur,3,150,20,39
Bear fur,3,13,4,53
Needle,3,1,1,49
Thread,100,1,1,9
Leather gloves,10,7,2,2
Leather boots,10,7,2,18
Priest gown (bottom),3,6,1,38
Priest gown (top),3,6,1,38
Brown apron,10,2,0,100
Pink skirt,10,2,0,57
Black skirt,3,2,0,35
Blue skirt,2,2,0,102
Red cape,10,2,0,34
Right eye patch,3,2,0,267
Red feather,0,13,4,10
Yellow feather,0,16,7,47
Orange feather,0,19,5,5
Blue feather,0,20,9,18
Stripy feather,0,26,8,9
Compost,500,35,,25
Plant cure,100,25,,212
Rake,500,6,,190
Seed dibber,500,15,,201
Gardening trowel,500,15,,191
Watering can,500,8,,186
Fishing rod,5,5,3,93
Fly fishing rod,5,5,3,94
Fishing bait,200,3,2,4
Bait pack,30,300,210,Not sold
Feather,800,2,1,3
Feather pack,50,200,142,Not sold
Raw trout,0,20,14,20
Raw pike,0,25,15,50
Raw salmon,0,50,35,53
Staff,5,15,9,23
Magic staff,5,200,120,59
Staff of air,2,1500,900,1667
Staff of water,2,1500,900,1669
Staff of earth,2,1500,900,1247
Staff of fire,2,1500,900,1466
Pink hat,5,160,88,674
Green hat,5,160,88,669
Blue hat,5,160,88,633
Cream hat,5,160,88,705
Turquoise hat,5,160,88,653
Pink robe top,5,180,99,560
Green robe top,5,180,99,585
Blue robe top,5,180,99,555
Cream robe top,5,180,99,498
Turquoise robe top,5,180,99,236
Pink robe bottoms,5,180,99,225
Green robe bottoms,5,180,99,551
